,7,8,9,10,11,12,13,14,15,16,17,18
20171102,62,196,429,541,397,379,453,476,378,314,135,44
20171103,130,171,332,418,503,533,558,557,469,275,77,26
20171104,122,187,271,505,424,471,589,521,537,399,93,30
20171105,57,71,223,380,351,378,561,415,299,207,77,14
20171110,2,90,662,918,831,778,894,848,606,412,159,39
20171112,0,124,566,1447,1430,1306,1808,2024,1777,1310,641,141
20171116,13,106,477,1063,1043,1082,1169,1129,777,496,143,36
20171117,0,33,383,1171,917,962,966,914,679,413,147,25
20171118,0,32,397,1157,1068,1096,1300,1490,1415,956,305,28
20171119,0,28,288,1169,1147,1648,1781,1878,1741,1146,350,137
20171124,13,252,597,695,653,1066,1227,1232,1024,654,252,97
20171125,0,113,760,2068,1694,1753,1934,1775,1742,1163,366,103
20171126,7,103,789,1671,962,1277,1633,1657,1461,1033,556,269
